No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
1,half,"một nửa, nửa",/hæf/,either of two equal parts into which something is or can be divided,I always try to finish my work by noon so that I have the second half of the day to relax.,noun,A1
2,fifty,50,/ˈfɪfti/,the number 50,My father is fifty years old.,noun,A1
3,shooting,"sự bắn, sự xả súng",/ˈʃuːtɪŋ/,a situation in which a person is shot with a gun,Terrorist groups claimed responsibility for the shootings and bomb attacks.,noun,B2
4,your,của bạn,/jɔːr/,of or belonging to the person or people being spoken or written to,I like your dress.,determiner,A1
5,without,"không có, thiếu",/wɪˈðaʊt/,"not having, experiencing or showing something",They had gone two days without food.,preposition,A1
6,these,"những cái này, những điều này, những việc này",/ðiːz/,plural of this,I found these photos while I was cleaning out my cupboards.,"determiner, pronoun",
7,tea,"chè, trà",/tiː/,the dried leaves (called tea leaves) of the tea bush,I drink a cup of tea every morning.,noun,A1
8,would,"(dùng để đưa ra một lời mời) có muốn, có cần",/wʊd/,used in polite offers or invitations,Would you like a sandwich?,modal verb,A1
9,ten,"mười, chục (10)",/ten/,10,Twelve people were invited but only ten turned up.,number,A1
10,sake,rượu sakê (của người Nhật),/seɪk/,a Japanese alcoholic drink made from rice,I went to a Japanese restaurant and ordered a bottle of sake to go with my sushi.,noun,C2
11,sister,"chị, em gái",/ˈsɪstər/,a girl or woman who has the same mother and father as another person,She's my sister.,noun,A1
12,successfully,"(một cách) thành công, thắng lợi, thành đạt, xuất sắc",/səkˈsesfəli/,in a way that achieves your aims or what was intended,She had already successfully completed these courses.,adverb,B1
13,thus,"như thế, như vậy",/ðʌs/,in this way; like this,Many scholars have argued thus.,adverb,B2
14,size,"quy mô, kích thước, độ lớn",/saɪz/,how large or small a person or thing is,The size of the cake was smaller than expected.,noun,A2
15,left,"(bên) trái, tả",/left/,on the side of your body that is towards the west when you are facing north,Fewer people write with their left hand than with their right.,adjective,A1
16,much,một số lượng lớn (cái gì); nhiều,/mʌtʃ/,"used with uncountable nouns, especially in negative sentences to mean ‘a large amount of something’, or after ‘how’ to ask about the amount of something. It is also used with ‘as’, ‘so’ and ‘too’.",I don't have much money.,"determiner, pronoun",A1
17,hang,"treo, mắc",/hæŋ/,"to attach something, or to be attached, at the top so that the lower part is free or loose",Hang your coat on the hook.,verb,B1
18,anybody,bất cứ ai,/ˈenibɒdi/,"any person at all, it does not matter who",Did anybody see you?,pronoun,A2
19,yellow,màu vàng,/ˈjeləʊ/,the colour of lemons or butter,The hall is decorated in pale yellow.,noun,A1
20,I,"tôi, ta, tớ",/aɪ/,used as the subject of a verb when the speaker or writer is referring to himself/herself,I think I'd better go now.,pronoun,A1
21,weekly,mỗi tuần một lần; hàng tuần,/ˈwiːkli/,"happening, done or published once a week or every week",We go to the city weekly.,adjective,B2
22,after,sau,/ˈɑːftə(r)/,later than something; following something in time,We'll leave after lunch.,preposition,A1
23,hand,(bàn) tay,/hænd/,"the part of the body at the end of the arm, including the fingers and thumb",Peter placed a hand on her shoulder.,noun,A1
24,a,một,/ə/,used before countable or singular nouns referring to people or things that have not already been mentioned,There is a book on the table.,indefinite article,A1
25,the,"cái, con, người...",/ðə/,used to refer to somebody/something that has already been mentioned or is easily understood,The nights are getting longer.,definite article,A1
26,blue,"màu xanh, màu lam, màu lơ",/bluː/,having the colour of a clear sky or the sea on a clear day,The sun shone brilliantly in the clear blue sky.,adjective,A1
27,fifth,"thứ năm (về số thứ tự), ngày mùng 5",/fɪfθ/,5th,Today is the fifth of May.,ordinal number,A1
28,thank,"cám ơn, bày tỏ sự biết ơn ai",/θæŋk/,to tell somebody that you are grateful for something,I want to thank you for helping me with my homework.,verb,A1
29,yours,"của bạn, của các bạn",/jɔːz/,of or belonging to you,Is that book yours?,pronoun,A2
30,good,tốt; hay; giỏi,/ɡʊd/,of high quality or an acceptable standard,Eating a balanced diet and getting enough sleep are important for maintaining good health.,adjective,A1
31,Jewish,(thuộc) người Do thái,/ˈdʒuːɪʃ/,connected with Judaism; believing in and practising Judaism,British soldiers carried out raids on Jewish villages and towns.,adjective,B2
32,wish,"mong, mơ ước, hy vọng",/wɪʃ/,to want something to happen or to be true even though it is unlikely or impossible,I wish I were taller.,verb,A2
33,area,"vùng, khu vực",/ˈeəriə/,"part of a place, town, etc., or a region of a country or the world",I'm not very familiar with this area of town.,noun,A1
34,pay,"trả tiền, thanh toán",/peɪ/,"to give somebody money for work, goods, services, etc.",Who's paying?,verb,A1
35,European,(thuộc) Châu Âu,/ˌjʊərəˈpiːən/,of or connected with Europe,What is European colonialism?,adjective,A2
36,onto,lên trên; lên,/ˈɒntə/,used with verbs to express movement on or to a particular place or position,Move the books onto the second shelf.,preposition,A2
37,spending,chi tiêu,/ˈspendɪŋ/,"the amount of money that is spent by a government, an organization or a person",I need to cut back on my spending if I want to save money for my trip.,noun,B1
38,success,thành công,/səkˈses/,the fact that you have achieved something that you want and have been trying to do or get,The company has achieved considerable success in this market.,noun,A1
39,young,trẻ; trẻ tuổi; thiếu niên; thanh niên,/jʌŋ/,consisting of young people or young children; with a low average age,The young couple fell in love while studying at university together.,adjective,A1
40,hard,khó khăn,/hɑːd/,"difficult to understand, do, experience, or deal with","Learning a new language can be hard, but it's worth it.",adjective,A1
41,live,sống,/lɪv/,to have your home in a particular place,We used to live in London.,verb,A1
42,better,"hơn, tốt hơn; đúng đắn hơn",/ˈbetə(r)/,of a higher standard or less poor quality; not as bad as something else,We're hoping for better weather tomorrow.,adjective,A1
43,with,"với, cùng với",/wɪð/ /wɪθ/,in the company or presence of somebody/something,She lives with her parents.,preposition,A1
44,there,"ở nơi đó, tại nơi đó, tới nơi đó",/ðeə(r)/,"in, at or to that place or position",We went on to Paris and stayed there eleven days.,adverb,A1
45,lady,"phu nhân, quý bà, quý cô",/ˈleɪdi/,"a word used to mean ‘woman’ that some people, especially older people, consider is more polite",There's a lady waiting to see you.,noun,A2
46,well,"tốt, giỏi, hay",/wel/,"in a good way, to a high or satisfactory standard",The documentary presented both sides of the problem very well.,adverb,A1
47,e-mail,"email, thư điện tử",/iː meɪl/,a way of sending messages and data to other people by means of computers connected together in a network,What's your e-mail address?,noun,A1
48,hate,"ghét, căm ghét",/heɪt/,to dislike somebody/something very much,The two boys hated each other.,verb,A1
49,per,"(dùng để diễn đạt tỉ lệ, giá...) cho mỗi (đơn vị thời gian, chiều dài...)",/pə(r)/,"used to express the cost or amount of something for each person, number used, distance travelled, etc.","Rooms cost £50 per person, per night.",preposition,A2
50,write,viết,/raɪt/,"to make letters or numbers on a surface, especially using a pen or a pencil",In some countries children don't start learning to read and write until they are six.,verb,A1
51,birth,"ngày sinh, sự ra đời, sự sinh đẻ",/bɜːθ/,the time when a baby is born; the process of being born,The birth of a child is a momentous occasion for any family.,noun,A2
52,slowly,"(một cách) chậm, từ từ, dần dần",/ˈsləʊli/,at a slow speed; not quickly,Slowly things began to improve.,adverb,A2
53,ever,vào bất cứ lúc nào; bao giờ,/ˈevə(r)/,"used in negative sentences and questions, or sentences with if to mean ‘at any time’",Have you ever been to Rome?,adverb,A1
54,even,"thậm chí, ngay cả",/ˈiːvn/,used to emphasize something unexpected or surprising,She didn't even call to say she wasn't coming.,adverb,A1
55,strongly,"(một cách) mạnh mẽ, vững chắc",/ˈstrɒŋli/,in a way that means something cannot be easily broken or damaged,I strongly believe in the power of education to transform lives.,adverb,B1
56,hundred,trăm,/ˈhʌndrəd/,100,I have to read a hundred pages of this book by tomorrow.,number,A1
57,pink,màu hồng,/pɪŋk/,pale red in colour,I like this pink dress.,adjective,A1
58,wait,"chờ, đợi, chờ đợi",/weɪt/,to stay where you are or delay doing something until somebody/something comes or something happens,She rang the bell and waited.,verb,A1
59,woman,"đàn bà, phụ nữ",/ˈwʊmən/,an adult female human,The woman who works at the bookstore recommended a great novel to me.,noun,A1
60,American,người Mỹ,/əˈmerɪkən/,"a person from America, especially the US",She is an American who lives in New York City.,noun,
61,save,lưu lại ,/seɪv/,to put information into a computer's memory or onto a computer disk,Don't forget to save your work regularly.,verb,B1
62,guy,"(từ lóng) anh chàng, gã",/ɡaɪ/,a man,The guy at the store was really helpful in finding what I needed.,noun,A2
